	pol_Latn	csb_Latn
9124	SąsiedziAs in, lastfm	SąsedzëAs in, lastfm
9125	Ten plik jest zbyt duży, żeby go przenieść do kosza.	Nen lopk je za wiôldżi abë gò przesënąc do kòsza.
9126	"Nie można znaleźć modułu ""% 1"" skonfigurowanej bazy danych. Nie można przez to uzyskać dostępu do istniejących danych. Z przyczyn bezpieczeństwa danych Nepomuk zostanie wyłączony, dopóki sytuacja nie zostanie ręcznie rozwiązana. @ info - notification message"	"Nepomuk nié mòże nalezc skònfigùrowóny bazë czérowników ""% 1 ."" Przez to nié mògą bëc brëkòwóné egzystejacé pòdôwczi. Przez bezpiek pòdôwków bãdze Nepomuk wëłączomy - do rëmniãcô rãczno problemë. @ info - notification message"
9127	Zawsze widoczny	Wiédno widzawno
9128	Ustawienia domyślne KDE dla 3 klawiszy modyfikatorówName	Domëslny nastôw KDE dlô 3 klawiszów zjinacziName
9129	Wyspy CookaName	Òstrowë CookaName
9130	Aktywna warstwaalign-reference-type	align-reference-type
9131	Można wybrać tylko pliki lokalne.	Mòżesz wëbrac blós môlowé lopczi.
9132	PojemnośćName	Plac na diskùName
9133	Przeglądarka obrazkówName	Przezérnik WWWName
9134	Uruchom ponownie% 1	Zrëszë znowa% 1
9135	Czcionka stałej szerokości:	Stałi fònt:
9136	Określa, jak Konqueror wyświetla animowane obrazki: Włączone: pokazuj wszystkie animacje Wyłączone: nigdy nie pokazuj animacji Pokazuj tylko raz: pokazuj wszystkie animacje, ale nie powtarzaj ich	Òznôczô to jak Konqueror wëskrzëniô animòwóné òbrôzczi: Włączoné: wëskrzëniô wszëtczé animacëje Wëłączoné: nigdë nie wëskrzëniwô animacëjów Wëskrzëni blós rôz: wëskrzëniôwszëtczé animacëje, rówank nié pòwtôrzô jich
9137	PodłączonyName	DodónéName
9138	ParleyComment	ParleyGenericName
9139	Błąd składni: za dużo argumentów	Fela syntaksë: za wiele argùmentów
9140	& Otwórz folder (y) ze znalezionymi plikami	Òtemkni katalog (dżi)
9141	Podajnik 11	Pòdajnik 11
9142	nie jest w ostatnich	nie je w slédnëch
9143	Rozproszenie obrazka	Roznëkanié òbrôzka
9144	& Nowy folder...	& Nowi katalog...
9145	TajnyBanner page	TacëwnoBanner page
9146	Europa/ Guernsey	Eùropa/ Gùernsej
9147	% 1 nie istnieje.	Nie dô% 1
9148	% 1 wykonywane przez% 2	% 1 wëkònywóné przez% 2
9149	11 dodatkowych pojemników	11 dodównëch zabiérników
9150	Grupa o nazwie% 1 już istnieje!	Karno ò mionie '% 1' ju je.
9151	Inne działania	_Jinszé òptacëje
9152	Układanka Mahjongg dla KDE	Mahjongg dlô KDE
9153	Czy na pewno usunąć:% 1	Na gwës chcesz rëmnąc:% 1
9154	Wybranie tej opcji spowoduje wyświetlanie na pasku zadań przycisku, który po kliknięciu pokaże menu z listą wszystkich okien.	Wëbranié ti òptacëji sprawi wëskrzënienié na lëstwie dzejaniów knąpë, jakô pò klëkniãcym pòkôżë menu z lëstą wszëtczéch òknów.
9155	Wszystkie obsługiwane pliki	Wszëtczé wspieróné lopczi
9156	Żadne okno nie pasuje do wzorca '% 1' i nie podano żadnego polecenia.	Niżóde òkno nie słëchô do mùstru '% 1' ë nie je pòdóny niżódny pòlét.
9157	Autor KWrite	Ùsôdzca Kwrite
9158	Ustawienia danego oknaComment	Nastôw specyficzny dlô òknaComment
9159	Nie można utworzyć nowego bufora piksmapy	Nie je mòżno zrobic nowégò bùfora piksmapë
9160	Otwieranie plików z poprzedniej sesji...	Òtmëkanié lopków ze slédny sesëji...
9161	Nie udało się wygenerować informacji o awarii. @ info/ rich	Ni dało sã wëgenerowac wëdowiédzë ò załómaniu. @ info/ rich
9162	"Proszę podać nazwę szukanego pliku. Alternatywne nazwy należy rozdzielić średnikiem "";."" Nazwa pliku może zawierać następujące znaki specjalne:? dowolny znak * dowolny ciąg znaków [...] dowolny znak zawarty w nawiasach kwadratowych Przykłady: *. kwd; *. txt wyszukuje wszystkie pliki kończące się na. kwd lub. txt [st] wój wyszukuje pliki ""swój"" i ""twój"" Do? ument wyszukuje pliki, których nazwa zaczyna się ""Do"" i kończy ""ument,"" a w środku ma dokładnie jeden dowolny znak. Mój. kwd wyszukuje plik o podanej nazwie"	"Proszã pòdac miono szëkónégò lopkù. Alternatiwne miona nót je rozdzélëc sprzeczidnikã "";."" Miono lopkù mòże miec zôstné specjalné céchë:? równo jaczi céch * równo jaczi cąg céchów [...] równo jaczi céch zamkłi w kwadratowëch klamrach Przëmiôrë: *. kwd; *. txt szëkô wszëtczé lopczi, co kùńczą sã na. kwd abò. txt [st] wój szëkô lopków ""swój"" ë ""twój"" Dok? ment szëkô lopczi, chtërnëch miono naczinô sã na ""Dok"" a kùńczë ""ment,"" a westrzódkù mô dokładno jeden równo jaczi céch. Mój Dokùment. kwd szëkô lopkù ò dokładno taczim mionie"
9163	Brak numeru faksu.	Felënk numeru faksa.
9164	360 x 120 DPI próbny, ekonomiczny	360 x 120 DPI próbny, ekònomikòwi
9165	Rastrowy format obrazu firmy SUN	Rastrowi fòrmat òbrôzu firmë SUN
9166	Wyczyść i przywróć	Wëczëszczë ë & copni terminal
9167	Przenieś czcionkę	Przeniesë fònt
9168	Potwierdź & wylogowanie	Pòcwierdzë & wëlogòwanié
9169	& Zaznacz wszystko	Zaznaczë & wszëtkò
9170	Część danych została utracona podczas konwersji.	Niechtërné pòdôwczi zadżinãłe òbczas kònwersëji.
9171	GujaratiQFontDatabase	QFontDatabase
9172	Uruchom (E) QShortcut	Zrëszë (E) QShortcut
9173	Frank malijskiName	Malijsczi FrankName
9174	Zmień & URL	Zmieni URL
9175	Nie podano nazwy klasy.	Felëje miono klasë.
9176	Zmień rozmiar okna:	Zmieni miarã òkna:
9177	Indeks urządzeniaName	Indeks ùrządzeniówName
9178	Wymagane rozszerzenie X jest niedostępne	Wëmôgóné rozszérzenié X nie je przistãpné
9179	WyślijQShortcut	QShortcut
9180	Upuść tutaj czujnik	Pùszczë tuwò ùzérôcz
9181	Planowanie	Tëmòwanié
9182	Podajnik papieru PF- 16	Pòdajnik papióru PF- 16
9183	Włączone przechwytywanie URL	URL grabber włączony
9184	Ikona programu	Tuwò ikòna aplikacëji
9185	Informacje o raportowaniu błędów@ info/ rich	Wëdiwédzô ò rapòrtach ò felach@ info/ rich
9186	Nieznany format pliku.	Fòrmat lopkù nie rozpòznóny.
9187	Pasek adresu Wpisz adres sieciowy lub szukany termin.	Listew adresë Wpiszë internetową adresã, abò szëkóné słowò.
9188	Zakres I/ O	Rum Wé/ Wi
9189	Usuń wybrany wzorzec plików.	Rëmôj wëbróny mùster lopków.
9190	TunezjaName	TunezëjôName
9191	Nie można połączyć się z serwerem. Proszę sprawdzić ustawienia i spróbować ponownie.	Nie mòże pòłączëc sã z serwerã. Proszã sprôwdzëc nastôwë ë spróbòwac znowa.
9192	Umieszczaj okno u dołu	Wsôdzë òkno w dole
9193	Nie można utworzyć dowiązania symbolicznego	Ni mòże ùsôdzëc symbòlicznegò lënka
9194	Podaj cel	Wpiszë cél
9195	& Rozmycie:	& Rozmëtosc:
9196	Regulacja RIT	Rechtënk RIT
9197	Pasek zadań Moduł do konfiguracji paska zadań (uruchomionych programów). Między innymi określa się czy pasek ma wyświetlać wszystkie okna czy tylko te z bieżącego pulpitu, a także czy ma być wyświetlany przycisk listy okien.	Lëstëw dzejaniów Mòduł do kònfigùracëji lëstwë dzejaniów (zrëszonëch programów). Midzë jinszëma òpisëjë czë lëstëw mô wëskrzëniwac wszëtczé òkna czë le te z biéżnégò pùltu, a téż czë mô bëc wëskrzëniwónô knąpa lëstwë òknów.
9198	Typ własny 3	Ôrt brëkòwnika 3
9199	Format obrazu PNG	Fòrmat òbrôzu PNG
9200	Uruchom polecenieComment	Zrëszanié pòlétówComment
9201	programista (SSL, wtyczki Netscape)	Ùsôdzca (SSL, Netscape pluginsë)
9202	& Słowniczek	& Słowôrzk
9203	Zwykły	Zwëczajny
9204	Baza danych bibliograficznychName	Bibliograficznô baza dostónkówName
9205	Tryb korekcji kolorów	Trib kòrekcëji farwów
9206	Rysuj pasek & uchwytu poniżej okien	Céchùjë listew & chwëtu niżi òknów
9207	Zastąp już działający menedżer okien zgodny z ICCCM2. 0	Zastãpi ju dzejającegò menedżerã òknów zgódnegò z ICCCM2. 0
9208	Użyj & motywu	& Brëkùjë témòwónégò witôcza
9209	WspółdzielenieName	ÙwòlnieniéName
9210	Inne, osobisty	Jiny, swój
9211	Poprawki	Rëmanié felów
9212	mrudolf@ kdewebdev. org, dexter@ debian. org	Mark Kwidzińsczi, Michôł Òstrowsczi
9213	& Modyfikuj zakładki	& Editëjë załóżczi
9214	Wyrównanie pionowe między pojemn.	Wërównianié wertikalné midze zabiérnik.
9215	Menedżer okien naśladujący AmigęName	Menadżera òknów szlachùjący za AmigaName
9216	Wstaw czas i datę	Wstôwi czas ë datum
9217	Skrzynka pocztowa 1 (wydrukiem w dół)	Pòcztowô kastka 1 (drëkã w dół)
9218	Rozmiar etykiety	Miara eticzétë
9219	Bieżący _stantab-style	tab-style
9220	LiczbaName	NumerName
9221	Tutaj można wybrać menadżera okien uruchamianego w sesji KDE. Name	Tuwò mòżesz wëbrac menadżerã òknów jakô mô bëc zrëszonô w twòji sesëji KDE. Name
9222	Utwórz bazę globalną	Ùsôdzë globalną bazã pòdôwków
9223	Menedżer okien o małych wymaganiach, oparty na BlackboxName	Menadżera òknów o môłëch żądaniach, òpairti na BlackboxName
9224	Użyj trwałych połączeń z serwerem pośredniczącym	Ùżëjë cwiardëch sparłãczeniów z pòstrzédniczącym serwerã
9225	Długość:	Długòta:
9226	Zaznacz, jeśli chcesz włączyć linie pionowe, gdy wykres będzie za duży.	Zaznaczë, jeżlë chcesz włączëc wertikalné rézë, czëdë dijagram mdze za wiôldżi.
9227	Nieudana konwersja danych NepomukaComment	Fela kònwertowaniô pòdôwków NepomùkaComment
9228	Nie zmieniono od otwarcia pliku@ title: inmenu	@ title: inmenu
9229	Zakończ program	Zakùńczë programã
9230	Jeśli włączone, wyszukiwanie używa wyrażeń regularnych.	Jeżlë włączoné, szëkba brëkùje regùlarnëch wësłôwiów.
9231	Gest wywołujący	Wëwòłujący gest
9232	Symulacja monitora (RGB)	Symùlacëjô mònitora (RGB)
9233	Proszę dla tego połączenia przez SSH podać nazwę, jak również adres serwera, port i ścieżkę foldera, a następnie proszę nacisnąć przycisk Zapisz i podłącz.	Proszã wpisac miono dlô tegò pòłączenia przez SSH, a téż adresã serwerë, pòrt ë stegnã do katalogù, a zôs wcësnąc knąpã Zapiszë ë pòłączë.
9234	Ustawienia panelu	Nastôwë panela
9235	W góręName	W górãName
9236	EstoniaName	EstóńskôName
9237	Eksportuj zakładki & Mozilli...	Ekspòrtëjë załóżczi & Mozilla...
9238	Programy edukacyjneComment	Edukacjowé aplikacëjeComment
9239	Przejście wyżej w strukturze URL/ katalogu.\ Styl Mozilli: naciśnij, do góry, w lewo, do góry, puść. Comment	Przejsce wëżi w sztrukturze URL/ kataloga.\ Sztél Mozillë: wcësni, do górë, w lewò, do górë, pùszczë. Comment
9240	& Użyj KMail jako klienta poczty	& Brëkùjë KMAil jakno klienta pòcztë
9241	Wstaw	Wpiszë
9242	Konfiguracja ustawień, które mogą mieć wpływ na wydajność KDEName	Kònfigùracëjô nastôwów Konquerora jaczé nają cësk na spòrosc KDEName
9243	66 punktów	66 pùnktów
9244	Zamknij bez zapisywaniaQDialogButtonBox	QDialogButtonBox
9245	Zmienia wymiary obrazu, aby pasowały do wszystkich warstwimage-action	image-action
9246	"To jest adres strony, do której Konqueror (jako przeglądarka WWW) przeniesie się po wciśnięciu przycisku ""Strona domowa."" Kiedy konqueror jest uruchomiony jako menedżer plików, przycisk ten przenosi do katalogu domowego."	"To je adresa URL internetowi starnë do chtërny skòknie Konqueror (jakno przezérnik WWW) jeżlë bãdze klëkniãtô knąpa\\ ""Dodóm\\."" Jeżlë Konqueror òstôł wëstartowóny jakno menadżera lopków, to klëkniãcé ti knąpë doprowôdzy naji do môlowégò domôcegò kataloga."
9247	Domyślny obrazek użytkownika	Domëszlny òbrôzk
9248	Nie można zainicjalizować urządzenia wejścia/ wyjścia	NI mòże zainicjowac ùrządzenia wéńdzenia/ wińdzenia
9249	Tryb wizualizacji	Trib wizualizacëji
9250	Krótka krawędź	QShortcut
9251	Wybierz katalogi do przeszukiwania@ title: window	@ title: window
9252	Nie udał się test ekranu startowego.	Nié mòże przeprowôdzëc testu sztartowi témë.
9253	Nazwa sterownika:	Mino czerownika:
9254	Styl zbliżony do BeOS, bez tematówName	Sztél szlachùjący za BeOSName
9255	Przełącz na pulpit 6	Przełączë na pùlt 6
9256	Wbudowany styl SGIName	Wbùdowóny sztél SGIName
9257	Menedżer okien o wyglądzie podobnym do Windows 95Name	Menadżera òknów o wëzdrzatkù szlachùjącym za Windows 95Name
9258	MadagaskarskiName	MadagarscziName
9259	Administrator	Sprôwnik
9260	Brak modułu zarządzającego tą kartą	Felëje mòdułu sprôwiającégò ną kôrtą
9261	Hasło użytkownika% 1:	Parola dlô% 1:
9262	Wczytaj & ponownie@ info: tooltip	& Zladëjë znowa@ info: tooltip
9263	Zapisz odnośnik jako	Zapiszë lënk jakno
9264	Włącz sprawdzanie pisowni w & tle	Włączë sprôwdzanié pisënkù w & spòdlim
9265	Zgłaszaj & błędy	Zgłoszë & felë
9266	Schemat nazywania pliku	Schéma nazywaniô lopków
9267	"Nieobsługiwany protokół ""%s"""	"Nieòbsłëgiwôny protokół ""%s"""
9268	Działanie, gdy kursor znajdzie się przez 15 sekund w lewym dolnym rogu ekranu.	Dzejanié, czedë kùrsora najdze sã bez 15 sekùndów w lewim dolnym rogù ekrana.
9269	600 dpi, fotografia, atramenty czarny + kolorowy, papier fotograficzny	600 dpi, òdjimk, tintë czôrny + farwny, òdjimny papiór
9270	Puste pole tekstowe	Pùsté tekstowé pòle
9271	Szachy mailoweGenericName	E- mailowé szachëGenericName
9272	Proszę natychmiast zmienić hasło (poprzednie hasło jest zbyt stare).	Proszã zarôzkù zmienic parolã (pòprzédnô parola je ju za baro stôrô).
9273	kioclient exec. // Otwarcie bieżącego katalogu. Bardzo przydatne.	kioclient exec. // Òtmëkô biéżny katalog. Barô brëkòwné..
9274	Kolor, szybko, CMYK	Farwa, chùtkò, CMYK
9275	Moduł indeksowania jest bezczynny	Indeksownik lopków nie robi
9276	Zmień na pulpit 18Comment	Skòknie na pùlt 18Comment
9277	Przełącz na następny ekran	Przełączë na zôstny ekran
9278	Średnio ciemny	Strzédno ciemny
9279	Przełącznik podajników	Przełącznik pòdajników
9280	Wciśnięcie karty środkowym przyciskiem myszy zamknie tę kartę. (Zmiany zostaną uwzględnione dopiero po ponownym uruchomieniu Konquerora).	Klëkniãcé westrzédną knąpã mëszë abò ji kółkã na kôrtã doprowôdzy do zamkniãcô kôrtë (je nót zrëszëc Konquerora znowa, abë aktiwòwac na fùkcëjã).
9281	Okno odtwarzacza XMMSComment	Òkno grôcza XMMSComment
9282	Nowy znacznik	Nowi merk (tag)
9283	kioclient download ['źródło'] # Skopiowanie zawartości adresu 'źródło' do lokalizacji podanej przez użytkownika. # 'źródło' może być listą adresów. Jeśli nie będzie podane, nastąpi # zapytanie o adres.	kioclient download ['src'] # Kòpérëjë adresã 'src' do môla pòdónégò przez brëkòwnika. # 'src' móże bëc lëstą adresów, a jeżlë nie je pòdóny # to programa zapëta ò nen argùment.
9284	Używa koloru tła z bieżącego motywuview-padding-color	view-padding-color
9285	W historii na pasku bocznym znajduje się lista ostatnio odwiedzonych stron.	W historëji na bòczny listwie najdiwô sã lësta slédno òbzérónëch starnów.
9286	IdźQShortcut	QShortcut
9287	Włącz klawisze & dostępu klawiszem Ctrl	Włączë/ Wëłączë klawisze & przëstãpù klawiszą Ctrl
9288	Podglądy:	Pòdzérczi:
9289	kończy się na	kùńczë sã na
9290	nieznanyQFileDialog	Nieznónô felaQFileDialog
9291	Narzędzie do przełączania map klawiatur	Nôrzãdze do przestôwianiô mapów klawiaturów
9292	między	Midze
9293	Skrytka 3	Tacnik 3
9294	ponad: o: według: przez: obecnie: po: przez: znowu: wszyscy: wszystkie: prawie: sam: wzdłuż: już: wszerz: chociaż: zawsze: pomiędzy: wśród: i: kolejny: następny: którykolwiek: cokolwiek: są: około: wokoło: stały: ponieważ: było: było: początek: zaczynać: poza: będąc: oprócz: poniżej: pomiędzy: miliard: obydwa: ale: móc: można: może: tytuł: mógł: mógłby: czynić: czynnik: czyniąc: robić: robiąc: podczas: każdy: osiem: osiemdziesiąt: także: indziej: koniec: kończyć: zakończenie: dosyć: etc: nawet: każdy: wszędzie: za wyjątkiem: kilka: pięćdziesiąt: pierwszy: pięć: dla: były: czterdzieści: znaleziony: znaleziono: cztery: czwarty: miał: ma: więc: ona: jej: tutaj: pobliski on: jego: jak: jakkolwiek: sto: rzeczywiście: zamiast: do: jest: samo: sam: ostatni: później: późniejszy: najmniej: mniej: niech: prawdopodobnie: wiele: wielu: w międzyczasie: milion: brakować: brakuje: brak: więcej: większość: większości: pani: dużo: musi: samodzielnie: dokładnie: nigdy: pomimo: następny: dziewięć: dziewięćdziesiąt: nikt: żaden: nie: nic: teraz: nigdzie: za: często: raz: jeden: tylko: inny: inni: w innym razie: nasz: nasze: my: nad: w sumie: własny: strona: na: być może: raczej: ostatni: ostatnio: taki sam: wydaje się: wydawało się: siedem: siedemdziesiąt: powinien: powinna: od: sześć: sześćdziesiąt: jakoś: ktoś: coś: kiedyś: czasem: gdzieś: ciągle: stop: taki: biorąc: ten: ta: dziesięć: niż: że: ich: im: oni: wtedy: tam: tamci: tamte: dlatego: trzydzieści: to: tamto: chociaż: tysiąc: trzy: wskazówki: razem: także: w kierunku: trylion: dwadzieścia: dwa: pod: dopóki: nieprawdopodobne: aktualizacja: aktualizuj: aktualny: używany: używać: używając: bardzo: via: chcieć: chciany: chcesz: chcę: droga: sposób: dobrze: dobry: był: co: cokolwiek: kiedy: kiedykolwiek: gdziekolwiek: gdzie który: podczas: czy: kto: ktokolwiek: cały: kogo: kogokolwiek: czyj: dlaczego: z: w: bez: będzie: praca: pracować: pracował: prace: pracując: byłby: wasz: jeszcze: ty; wy: twój: wasz: ciebie: was	nad: ò: wedle: przez: terô: pò: przez: znôwù: wszëtcë: wszëtczé: wnet: sam: zdłuż: ju: wszérz: chòc: wiedno: midzë: westrzód: ë: posobny: nôslédny: jaczi le: równo co: są: wkół: kòle: stójny: temù: bëło: bëło: zôczątk: zaczënac: za: bãdąc: króm: niżi: midzë: miliard: òbadwa: le: móc: mòżno: mòże: titel: móg: mógbë: dzejac: dzejnik: dzejając: robic: robiąc: òbczas: kòżdi: òsme: osmedzesąt: téż: jińdze: kùnc: kùńczëc: zakùńczenié: dosc: etc: nawetka: kòżdi: wszãdze: za wëjimkã: czile: piãcdzesãt: pierszi: piãc: dlô: bëłë: sztërdzescë: nalazłi: nalazło: sztërë: czwiôrti: miôł: ma: wic: òna: ji: tuwò: w blëze òn: jegò: jak: chòc: sto: jawerno: miast: do: je: samò: sam: slédny: pòźdzé: pòzdzéjszi: nômni: mni: niech: prawdopòdobno: wiele: wielu: w midzëczasu: milion: felowac: felëje: felënk: wicy: wikszosc: wikszoscë: wastka: wiele: mùszi: samòstójno: dokładno: nijak: nimò: nôslédny: dzewińc: dziewiãcdzesąt: nicht: niżóden: nié: nick: terô: nigdze: za: czãsto: raz: jeden: blós: jinszy: jinszi: w jinszym razu: naji: najé: më: nad: w sëmie: swój: starna: na: mòżlëwò: mili: slédny: oslédno: taczi sóm: wëdôwô sã: wëdôwało sã: sédme: sédemdzesąt: òn mô: òna ma: òd: szesc: szescdzesąt: jakòs: chtos: cos: czedës: czasã: dzes: wiedno: sztop: taczi: biorąc: nen: na: dzesãc: jak: że: jich: jim: òni: tedë: henë: tamti: tamté: dlôte: trzëdzesce: to: tamto: chòc: tësąc: trzë: wskôzë: razã: téż: w czérënkù: trilión: dwadzesca: dwa: pòd: pòkąd: niepòdobno: aktualizacëjô: aktualizëjë: aktualny: brëkòwóny: brëkòwac: brëkùjąc: baro: via: chcec: chcóny: chcesz: chcã: droga: ôrt: dobrze: dobri: bëł: co: równo co: czéj: czéj le: gdzele: gdze jaczi: òb czas: czë: chto: chto le: całi: kògò: kògò le: kògò: dlôcze: z: w: bez: bãdze: robòta: robic: robił: robòtë: robiąc: bëłbë: waji: jesz: të; wë: twój: waji: cebie: wajô
9295	Aktywne zadania_BAR_Zakończone zadania	Aktiwnë robòtë_BAR_Zakùńczoné robòtë
9296	Błędny URL	Lëchi URL
9297	Domyślny motyw kontekstuComment	Domëslnô téma kòntekstuComment
9298	Dziedziczony	Dzedzyczony
9299	błąd alokacji pamięci	fela alokacëji pamiãcë
9300	_Zgodnie z preferencjamiview-padding-color	view-padding-color
9301	Frank belgijskiName	Belgijsczi FrankName
9302	& Instaluj symbole debugowania@ info: tooltip	& Instalëjë symbòle debùgowaniô@ info: tooltip
9303	Poziomo na dole po lewej	Wertikalno na dole z lewa
9304	Tu można wybrać używaną rodzinę czcionek. @ info: whatsthis	Tuwò mòżesz wëbrac brëkòwóną familëjã fòntów. @ info: whatsthis
9305	& Zmiana wielkości czcionki:	& Zmiana miarë fònta:
9306	Wersja programu - upewnij się przed wysłaniem, że nie ma nowszej wersji tego programu	Wersëjô programë - ùgwësni sã przed wësłaniém, że nie je ju przistãpnô nowszô wersëjô
9307	Powód: Nie znaleziono pliku pulpitu% 1.	Przëczëna: Nie je nalazłi lopk pùltu% 1.
9308	Rozszerzenie A ujednoliconych ideogramów CJK	Dodôwk A zrzëszonych ideògrafów CJK
9309	Na pewno włączyć% 1?	Chcesz na gwës włączëc '% 1'?
9310	Błąd:% 1:% 2	Fela:% 1 -% 2
9311	Bez wersji@ title:: column	Bez wersëji@ title:: column
9312	Wersja Alib	Wersëjô Aliba
9313	Uaktualnianie konfiguracji systemu.	Zaktualnienié kònfigùracëji systemë
9314	Tło	Spódk
9315	& Średnia wielkość czcionki:	& Strzédnô miara fònta:
9316	Wystąpił błąd podczas komunikacji z Last. fm.	Wëstąpiła fela òbczas łączbë z Amazon.
9317	Różne	Różné
9318	Włącz zakres	Włączë rum
9319	Domyślne podmenu	Domëszlné pòdmenu
9320	Półtony	Półtonë
9321	Porzucić zmiany?	Pòcësnąc zmianë?
9322	Tu możesz określić położenie znaku dla kwot ujemnych.	Tuwò mòżesz òpisac pòłożenié céchù dlô ùjimnëch sëmów dëtków.
9323	KCMInit - uruchamia programy inicjujące moduły Centrum Sterowania.	KCMInit - zrëszô sztartową inicjalizacëjã dlô kòntrolnëch mòdulów.
9324	Czcionka menu	Fòntë dlô menu
9325	Uruchamia nową kopię programu GIMP	Zrëszô nową kòpijã programë GIMP
9326	Azja/ Ho_ Chi_ Minh	Azëjô/ Chongqing
9327	Nie można uruchomić usługi systemowej.% 1	Nié mòże zrëszëc systemòwégò demòna.% 1
9328	Włączono AutoSync MP3Tunes	Aùtomatnô synchronizacëjô MP3Tunes włączonô
9329	Włącz lub wyłącz filtry AdBlocK. Żeby blokowanie działało, konieczne jest zdefiniowanie zestawu filtrowanych wyrażeń.	Włączë abò wëłączë filtrë AdBlock. Żebë blokòwanié robiło, nót je zdefiniowac zestôwk filtrowónëch wësłowiów.
9330	Strumieniowanie	Strëgòwanié
9331	Pokaż komunikat w & okienku	Pòkôżë wiadło w & dialogòwim òknie
9332	Ndebele, PółnocName	Ndebele, NordaName
9333	Dinar libijskiName	Libańsczi DinarName
9334	Rodzaj połączenia	Ôrt pòłączeniô
9335	Kontrola aktywnego oknaName	Sprôwianié JackãName
9336	CMYK z rozpraszaniem FS (24 bpp)	CMYK z roznëkòwónim FS (24 bpp)
9337	Ustawienia dla ekranu:	Nastôwë dlô ekranu:
9338	Można tu zobaczyć wszystkie wtyczki Kate. Zaznaczenie oznacza, że są załadowane i zostaną także załadowane przy ponownym uruchomieniu Kate.	Tuwò mòże òbôczëc wszëtczé pluginsë Kate. Zaznaczenié òznôczô, że są òne wladowóné ë òstaną téż wladowóné przë nôslédnym zrëszeniô Kate.
9339	Kolekcja MySQLServerName	Kòlekcëjô serwera MySQLName
9340	"Aby zobaczyć nazwy zmiennych branych pod uwagę podczas procesu automatycznego wykrywania (autodetekcji), trzeba zamknąć to okno dialogowe, kliknąć na przycisk szybkiej pomocy na pasku tytułu okna dialogowego, a następnie kliknąć na przycisk ""Autodetekcja."""	"Abë òbôczëc miona zmiennëch ùwzglãdniónëch przë procese aùtomatnegò wëkrëwaniô, nót je zamknąc dialogòwé òkno, klëknąc na knąpã chùtczi pòmòcë w listwie titla dialogowégò òkna, a pò tim klëknąc na knapã ""Aùtomatné wëkrëwanié."""
9341	Nieznany błąd% 1	Nieznónô fela% 1
9342	Urządzenie NFSComment	Ùrządzenié NFSComment
9343	Floyd- Steinberg (nie jest zalecane dla MicroDry)	Floyd- Steinberg (nie je rekòmendowóné dlô MicroDry)
9344	Menedżer okien dla palmtopówName	Menadżera òknów dlô palmtopówName
9345	Kompilator:	Kòmpilatora:
9346	Zawszesoft scrolling	Wiednosoft scrolling
9347	Zegar cyfrowyComment	Cyfrowi zédżerComment
9348	Pomoc przy przeciąganiuComment	Pòmòc wërówaniôComment
9349	ŻarówkaQShortcut	PrawòQShortcut
9350	Włączone (obrót wzdłuż krótkiej krawędzi)	Włączone (òbrócënk zdłużą krótczégò rańtu)
9351	Moduł kodujący, który pozwala na wpisanie polecenia kodującegoName	Mòdul kòdërëjący, jaczi zezwôlô na wpisanié kòderëjącegò pòletuName
9352	Jeśli włączysz tę opcję, po przytrzymaniu kursora myszy nad plikiem zobaczysz niewielkie okno z dodatkowymi informacjami o pliku.	Tuwò mòżesz kòntrolowac to, czë przë najachaniô mëszą na ikònã lopka, chcesz widzec môłé wëskakùjącé òkno z dodôwną wëdowiédzą ò lopkù.
9353	Węzeł urządzenia	Wãzeł ùrządzenia
9354	Zmień ustawienia bez pytania	Zmieni nastôw bez pëtaniô
9355	"Określa, czy polecenie wyszczególnione w kluczu ""command"" powinno obsługiwać adresy URL typu ""apt."""	"Òznôcżô, czë pòlét òpisóny w kluczu ""command"" mô òbsłëgiwac URL-e ôrtu ""apt."""
9356	Możliwe powody	Mòżlewé òrądze
9357	Ten obrazek nie jest przechowywany na lokalnym komputerze. Kliknij na nazwie, aby go wczytać.	Òbrôzk nie je trzëmóny na môlowim kòmpùtrze. Klëkni na nôdpis bë gò wladowac.
9358	Pasuje kilka stron podręcznika.	Pasëjë czile starnów ùczbòwnika.
9359	Komentarz:	& Dopòwiesc:
9360	Podajniki papieru PF- 26	Pòdajniczi papióru PF- 26
9361	Edytor menu KDE	Editora menu KDE
9362	Demon stref czasowych KDEName	Ùsłëżnota czasowi conë KDEName
9363	Ameryka/ Argentyna/ Tucuman	Amerika/ Argentina/ Tucuman
9364	Wyczyść pole	Wëczëszczë pòle
9365	Suma ogólna	Òglowé pòdrëchòwanié
9366	Użyj graficznego edytora wyrażeń regularnych	Brëkùjë graficznegò editora regexp
9367	Konfiguracja różnych opcji programu.	Kònfigùracëjô różnëch òptacëji programë.
9368	"Nie można wczytać motywu ""% 1."" Proszę sprawdzić instalację."	"Nie darzëło sã wladowanié témë ""% 1."" Proszã sprôwdzëc swòją instalacjã."
9369	& Włącz obsługę smartcard	& Włączë wspiarcé smartcard
9370	Musi być & w aktywnej sesji	Mùszi bëc & w aktiwny sesëji
9371	Litera, tytułowa	Lëtera, titlowé skrodzënë
9372	Tytuły kart	Title kôrtów
9373	Baza danych muzyki	Môl bazë pòdôwków
9374	Uruchom program ponownie@ info: tooltip	Zrëszë apliakcëjã znowa@ info: tooltip
9375	Poprzednie działanie	Pòprzédnô aktiwnota
